STATES,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,YEAR,CONSUMER_TYPE
Rondônia,44271.0,41823.0,40309.0,41622.0,42819.8,39615.5,40586.0,39354.0,42564.0,45081.0,44687.0,42843.0,2004,Residencial
Acre,15778.13,14807.61,14970.25,15545.48,14714.96,13650.97,14831.92,14965.91,15749.94,16636.93,16815.59,16169.22,2004,Residencial
Amazonas,84473.0,79776.66,75028.0,75997.24,79165.0,76363.0,78969.0,79171.48,86117.99,82395.72,86089.23,83190.81,2004,Residencial
Roraima,15606.65,14793.02,14460.54,15416.93,13129.88,13541.43,13255.62,12645.36,14174.85,15158.62,15655.56,15434.34,2004,Residencial
Pará,141170.69,133722.24,129019.65,145309.27000000002,137324.53999999998,141204.56,135724.37000000002,146423.11,141929.93,142047.33,149190.18000000002,148314.53,2004,Residencial
Amapá,21780.0,14494.0,21722.0,18904.0,18143.0,19502.0,19440.0,19717.0,20994.0,22521.0,22269.0,22649.0,2004,Residencial
Tocantins,25505.31,23986.15,24727.93,26979.94,26857.73,28211.76,25616.15,26559.5,29928.58,29366.04,27572.8,27292.8,2004,Residencial
Maranhão,88613.0,81144.0,84537.0,87326.0,87117.37999999999,86473.0,84032.37,87593.0,91369.98,89662.72,89720.65999999999,88175.02,2004,Residencial
Piauí,55791.0,46649.0,48151.0,50927.0,50865.0,49478.0,49524.2,50770.0,54549.0,55990.0,58308.0,54329.0,2004,Residencial
Ceará,165168.0,148543.7,163812.7,177212.4,156118.0,161970.0,148023.0,164163.7,174620.1,173293.4,174671.0,177340.5,2004,Residencial
Rio Grande do Norte,80257.85,69742.03,75822.93,79305.22,75219.42,73742.1,70563.06,69621.91,71250.23,73392.11,77686.34,81553.68,2004,Residencial
Paraíba,78698.20999999999,68827.4,74707.05,75635.45,71575.22,69427.18,68034.16,65567.87,71382.75,73990.8,72830.77,73885.75,2004,Residencial
Pernambuco,228466.22,217764.55,225066.08,232170.41,210365.37,198030.88,192699.66,189991.76,224208.16999999998,212547.43,226619.19,240852.96,2004,Residencial
Alagoas,59273.0,54516.0,55042.0,56082.0,55113.0,54880.0,50870.0,47564.0,51308.0,51757.0,52364.0,56152.0,2004,Residencial
Sergipe,47598.8,43054.31,45581.36,47776.64,44329.9,42832.11,42244.52,40125.56,41059.64,43729.31,45402.3,47528.88,2004,Residencial
Bahia,294797.51,269980.34,276717.04,290815.47,282303.55,265517.5,263190.43,247536.47,261494.53,271886.11,285609.38999999996,284402.45,2004,Residencial
